gene id,name,3018_5139jL11HMBYSc6ab35_15_8_rem_of_zooids_StageA1to2,2372_5432b1_zooid_naive_stageAtoB,HISeq-Sample_944axbyd196-10,Hm9axByd196.6_4_219_2,2061_L11HMBY15xSC6ab_24_2_zooids,HISeq-Sample_bot_cDNA_15,2336_5139jL11HMBYSc6ab_15_9_vs_944axBYd196_6_4_101,2619_chimera_5432b_vs_5423b_zooid_StageA2,2626_chimera_5432b_vs_5423b_zooid_StageA2,2627_chimera_5432b_vs_5423b_zooid_StageA2,2662_HM9axBYd196_6_4_202_vs_944axBYd196_6_4_103,2390_chimera_L11HM9abld196_4_15_93_vs_944axbyd196_6_4_zooid_without_test,3562_5606b_vs_L11HMBY15xSC6ab_24_6
g42729.t1,g42729,2,0,0,0,0,3,2,2,0,0,0,0,2
g4273.t1,ZIM3,0,20,0,6,8,0,0,2,8,0,6,4,2
g42730.t1,g42730,0,0,0,0,0,0,0,0,0,0,0,0,0
g42731.t1,g42731,0,0,0,0,0,2,0,2,2,6,2,4,2
g42732.t1,g42732,45,17,2,11,14,27,6,28,6,16,14,45,32
g42733.t1,SENP1,32,0,0,2,14,10,18,10,4,0,2,7,8
g42734.t1,g42734,42,61,2,6,8,35,28,22,8,29,23,34,48
g42735.t1,Igfals,6,612,104,208,22,1145,2,1537,231,1074,165,1815,1033
g42736.t1,g42736,61,12,0,0,3,12,8,18,0,2,0,51,7
g42737.t1,g42737,10,0,1,27,0,26,0,23,8,0,8,45,8
g42738.t1,Fmo5,42,94,172,93,40,363,4,53,14,55,22,55,99
g42739.t1,Tnr,10,24,10,0,0,8,0,68,24,17,14,8,6
g4274.t1,g4274,34,12,4,10,7,8,2,28,26,6,0,24,29
g42740.t1,UPB1,256,84,186,196,106,223,74,482,132,160,249,336,348
g42741.t1,g42741,8,2,3,0,2,4,4,25,2,12,0,29,41
g42742.t1,260825636,92,40,83,58,34,66,22,165,74,72,79,148,154
g42743.t1,g42743,28,62,4,10,4,28,10,24,18,16,10,51,68
g42744.t1,SRPX2,2,4,0,6,0,14,4,10,2,0,4,4,12
g42745.t1,g42745,42,32,2,10,0,12,12,121,52,61,35,59,83
g42746.t1,Trmt11,40,12,41,29,18,122,34,34,10,16,14,8,27
g42747.t1,g42747,0,4,0,2,0,0,0,0,0,0,0,0,2
g42748.t1,g42748,2,0,0,0,0,0,0,2,2,0,0,0,2
g42749.t1,g42749,0,2,0,0,0,6,0,5,0,0,0,2,4
g4275.t1,g4275,2,0,0,0,0,0,0,0,0,0,4,0,0
g42750.t1,g42750,4,4,0,2,0,56,2,13,7,20,15,62,8
g42751.t1,348533656,16,4,8,14,8,8,2,10,4,24,23,28,10
g42752.t1,g42752,18,6,6,10,4,49,2,30,6,8,6,28,7
g42753.t1,g42753,0,0,0,0,0,0,0,0,0,2,0,0,0
g42754.t1,g42754,28,18,0,2,0,41,2,8,2,4,0,6,0
g42755.t1,g42755,8,0,2,12,0,40,4,12,3,4,9,17,5
g42756.t1,g42756,6,4,6,10,0,12,4,19,2,14,4,16,3
g42757.t1,g42757,6,0,0,2,0,22,0,4,2,2,0,0,2
g42758.t1,g42758,0,4,0,0,0,0,0,0,0,0,0,0,0
g42759.t1,g42759,124,18,6,14,21,24,19,199,63,73,22,84,170
g4276.t1,g4276,2,0,0,2,0,0,0,4,0,0,0,33,4
g42760.t1,g42760,12,28,0,11,2,12,4,42,0,2,12,14,23
g42761.t1,MAPK8IP1,6,2,0,0,0,0,0,10,6,2,2,2,0
g42762.t1,g42762,14,10,0,2,0,10,2,5,6,0,2,4,1
g42763.t1,g42763,4,6,0,2,0,10,2,6,0,2,0,0,0
g42764.t1,g42764,2,8,0,0,2,8,0,0,0,2,0,8,2
g42765.t1,g42765,10,8,0,6,2,23,0,4,2,2,6,17,2
g42766.t1,g42766,16,39,2,6,2,32,8,24,0,13,14,49,5
g42767.t1,GPR126,14,2,4,12,0,10,10,20,0,2,8,0,0
g42768.t1,g42768,54,2,2,12,28,14,2,32,12,4,15,43,38
g42769.t1,g42769,14,20,2,20,40,30,0,26,6,4,8,14,24
g4277.t1,g4277,0,0,0,0,2,3,0,0,0,0,0,0,0
g42770.t1,g42770,0,0,0,0,0,0,0,2,0,0,0,0,0
g42771.t1,g42771,2,0,0,4,6,10,4,2,0,0,2,11,6
g42772.t1,g42772,50,0,10,6,4,8,0,66,12,16,6,94,41
g42773.t1,g42773,18,16,30,10,12,106,19,59,10,6,58,127,62
g42774.t1,ABHD14B,35,6,52,24,42,68,6,42,24,19,53,16,46
g42775.t1,Arl2bp,16,25,2,22,8,2,4,28,0,54,12,10,4
g42776.t1,Eif2ak4,78,2,29,8,20,115,61,150,26,41,35,175,185
g42777.t1,EIF2AK4,116,54,17,28,13,103,73,229,48,103,50,215,193
g42778.t1,EIF2AK4,24,6,3,4,4,20,9,72,20,28,12,65,105
g42779.t1,g42779,4,7,4,5,5,29,7,9,2,2,2,14,8
g4278.t1,g4278,0,0,0,2,0,6,0,0,0,0,7,0,2
g42780.t1,Dsel,196,250,24,72,137,157,72,310,80,140,57,175,122
g42781.t1,g42781,6,0,0,1,0,4,0,2,0,2,0,2,8
g42782.t1,g42782,347,134,17,49,82,644,71,127,56,89,10,595,280
g42783.t1,g42783,2,0,0,0,0,1,0,0,2,0,0,0,0
g42784.t1,g42784,2,0,2,0,0,2,0,0,0,0,0,6,0
g42785.t1,g42785,0,2,0,0,0,2,0,0,0,0,0,2,0
g42786.t1,g42786,0,0,0,0,0,0,0,0,0,0,0,0,0
g42787.t1,g42787,96,36,10,70,174,10,20,161,92,60,20,113,104
g42788.t1,HARBI1,0,2,0,0,0,6,2,1,0,0,0,0,0
g42789.t1,g42789,18,8,2,0,0,11,5,18,2,10,2,17,6
g4279.t1,g4279,615,271,38,83,2,188,60,298,152,137,141,433,393
g42790.t1,g42790,10,12,10,10,13,10,6,4,4,15,10,28,13
g42791.t1,g42791,106,0,0,4,4,7,2,16,2,0,10,10,10
g42792.t1,g42792,343,49,46,40,28,173,68,75,48,106,37,93,68
g42793.t1,g42793,4,2,0,0,0,0,2,0,0,0,0,0,2
g42794.t1,g42794,40,102,5,38,0,23,22,59,44,69,41,109,50
g42795.t1,g42795,124,57,0,22,19,108,26,48,14,34,12,67,57
g42796.t1,g42796,18,2,0,9,2,21,22,12,4,0,4,33,10
g42797.t1,g42797,12,10,2,0,2,17,0,6,2,4,0,18,0
g42798.t1,g42798,4,8,0,6,2,65,0,0,2,2,12,45,5
g42799.t1,g42799,12,0,0,2,0,11,0,14,0,6,2,2,2
g428.t1,g428,103,22,5,20,96,14,35,54,50,45,11,22,66
g4280.t1,g4280,54,50,12,10,8,79,6,60,22,12,12,84,62
g42800.t1,g42800,20,2,0,2,6,2,0,0,0,0,0,0,0
